CPF CNPJ;Código da Faixa Salarial;Valor da Renda Presumida;Descrição da Faixa
30900000082;2;1310.22;ate 1 salario minimo
30900000082;2;1310.22;ate 1 salario minimo
02100000071;3;2190.40;de 01 a 02 salarios minimos
02100000071;3;2190.40;de 01 a 02 salarios minimos
56100000091;2;996.34;ate 1 salario minimo
56100000091;2;996.34;ate 1 salario minimo
56100000091;2;996.34;ate 1 salario minimo
02200000006;3;2547.76;de 01 a 02 salarios minimos
02200000006;3;2547.76;de 01 a 02 salarios minimos
18400000072;1;600.00;ate meio salario minimo
18400000072;1;600.00;ate meio salario minimo
18400000072;1;600.00;ate meio salario minimo
01000000028;3;1809.90;de 01 a 02 salarios minimos
01000000028;3;1809.90;de 01 a 02 salarios minimos
73200000082;3;1969.26;de 01 a 02 salarios minimos
73200000082;3;1969.26;de 01 a 02 salarios minimos
68300000097;1;82.00;ate meio salario minimo
68300000097;1;82.00;ate meio salario minimo
68100000034;3;2150.03;de 01 a 02 salarios minimos
68100000034;3;2150.03;de 01 a 02 salarios minimos
47300000053;3;2024.22;de 01 a 02 salarios minimos
47300000053;3;2024.22;de 01 a 02 salarios minimos
35500000063;6;11077.00;de 05 a 10 salarios minimos
35500000063;6;11077.00;de 05 a 10 salarios minimos
